,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
81,45,19,6,40,16,18,3,14,12,47,15,37,35,23,48,21,31,29,1,26,53,36,22,7,42,11,4,5,0,9,34,27,30,41,51,2,38,52,20,33,50,32,46,10,49,17,28,39,24,8,25,44,43,13
82,36,30,9,14,15,8,11,10,3,17,28,43,12,19,52,21,27,39,20,25,50,1,31,6,34,24,41,18,2,53,42,45,44,40,46,4,51,47,33,22,48,35,0,5,37,32,29,7,26,16,13,49,38,23
83,45,22,19,31,16,18,43,20,7,42,25,40,24,46,52,23,13,36,8,15,51,3,2,9,35,28,5,37,1,53,11,41,47,38,50,17,33,49,14,27,44,21,0,4,39,26,29,6,30,12,32,48,34,10
84,42,31,8,34,18,13,7,9,2,51,22,44,14,16,20,30,52,25,36,21,45,47,5,48,38,32,39,4,3,53,19,26,33,41,17,1,12,37,24,23,35,46,0,6,40,29,28,11,27,43,15,49,50,10
85,43,29,12,33,17,32,36,7,1,50,22,47,31,42,46,30,45,13,38,25,51,14,0,11,20,10,44,8,4,53,5,28,19,37,52,2,40,16,35,15,48,21,3,6,49,34,24,9,26,18,23,39,41,27
86,40,26,14,46,9,7,16,22,5,41,25,43,15,28,51,36,39,24,18,29,52,49,2,6,38,10,12,48,0,53,11,42,35,47,33,4,31,50,32,20,8,13,1,19,17,23,34,21,30,44,27,45,37,3
87,46,27,4,19,30,18,24,8,0,38,23,40,32,22,44,35,48,16,49,21,52,10,51,9,29,17,2,39,6,53,12,28,37,41,47,5,42,50,13,11,45,20,1,14,36,15,26,7,25,33,31,43,34,3
88,46,25,13,21,36,9,51,34,1,39,23,42,22,8,53,27,49,12,4,28,31,3,0,29,20,17,16,43,47,50,10,19,41,35,45,7,48,52,15,38,44,32,11,2,40,26,24,5,18,33,14,30,37,6
89,34,32,9,21,8,19,4,17,0,49,24,27,31,12,45,16,48,11,43,20,51,30,5,7,37,15,47,28,10,53,3,41,38,13,29,2,35,52,33,14,36,39,1,18,40,26,22,6,23,44,25,42,46,50
90,27,8,7,38,3,12,18,35,37,49,22,47,13,36,51,34,33,5,29,11,32,50,43,26,19,15,4,9,0,52,17,40,42,20,44,10,39,1,21,16,46,24,53,14,30,31,25,2,23,48,28,45,41,6
91,39,24,4,18,37,31,3,15,1,38,19,33,20,16,53,28,49,23,42,29,9,10,0,5,30,7,32,13,11,51,8,35,36,41,50,2,48,45,27,25,47,34,52,14,17,26,22,6,21,44,12,40,43,46
92,29,40,17,34,20,18,2,11,5,49,24,45,27,15,52,36,9,7,31,21,51,6,8,10,37,25,41,32,1,53,14,38,43,48,50,3,16,44,35,39,28,47,0,13,42,22,30,4,26,23,19,33,46,12
93,31,14,5,32,46,6,22,37,0,42,25,30,18,12,49,34,53,13,9,17,48,43,4,2,28,21,8,19,7,51,3,29,26,40,50,1,52,44,41,33,45,16,23,11,24,35,20,10,27,47,36,38,39,15
94,35,34,3,14,36,5,4,9,8,20,25,41,18,27,51,15,50,31,7,32,52,47,1,40,33,22,37,6,17,53,19,44,24,46,23,2,42,48,26,39,21,28,0,16,38,11,29,12,30,49,13,43,45,10
95,45,18,6,34,33,10,11,50,2,43,14,40,26,35,42,37,38,16,8,23,51,48,3,19,17,30,20,49,0,52,13,36,39,31,47,1,46,53,15,32,21,27,7,9,24,22,25,5,29,41,12,44,28,4
96,42,27,16,20,23,34,14,18,5,43,13,37,19,8,49,12,53,7,29,28,50,51,9,11,36,35,44,24,1,52,2,41,45,39,46,6,48,30,3,33,32,17,0,4,15,22,26,31,25,47,21,38,40,10
97,32,16,1,19,11,26,33,29,44,52,35,41,14,9,51,31,30,4,34,21,3,45,53,17,27,6,2,38,5,12,18,20,40,43,50,8,48,10,39,15,42,36,0,13,22,24,28,7,23,47,25,46,49,37
98,38,18,7,34,20,11,5,22,3,24,32,46,17,10,42,31,52,25,51,27,53,48,1,37,16,36,39,35,2,33,29,15,26,43,50,4,9,44,14,21,40,23,0,6,45,19,28,13,30,49,12,41,47,8
99,26,25,3,31,37,11,2,38,29,48,6,36,27,17,42,33,46,14,4,12,40,52,0,41,30,34,44,47,21,53,7,16,45,32,49,8,51,50,10,28,35,22,1,5,19,13,23,9,20,39,24,43,15,18
