,Vt,Vm,V0,Vform,SVA,ArtOrDet,Nn,Npos,Pform,Pref,Prep,Wci,Wa,Wform,Wtone,Srun,Smod,Spar,Sfrag,Ssub,WOinc,WOadv,Trans,Mec,Rloc-,Cit,Others,Um
iter73,17,19,18,26,25,3,13,1,4,2,11,5,22,23,9,6,27,7,16,21,14,12,8,20,15,0,10,24
iter74,22,25,10,27,23,5,13,11,1,4,12,6,0,21,9,7,24,18,20,3,16,19,17,15,14,2,8,26
iter75,21,9,19,26,24,5,17,3,4,8,14,6,2,23,11,15,27,13,25,1,18,10,12,20,16,0,7,22
iter76,21,24,13,26,23,5,12,8,1,6,9,7,25,19,16,20,27,2,10,14,17,3,11,18,15,0,4,22
iter77,18,19,20,26,23,4,13,1,14,3,11,9,0,22,10,12,27,7,21,24,8,5,16,15,17,2,6,25
iter78,22,15,10,26,23,4,13,8,5,18,9,2,0,20,6,17,27,12,21,7,24,11,14,19,16,1,3,25
iter79,21,24,19,26,23,8,15,4,9,6,12,7,0,10,3,13,27,17,22,2,18,11,14,20,16,1,5,25
iter80,21,22,20,26,23,5,12,3,2,6,13,10,4,19,8,9,27,14,7,11,24,17,18,16,15,0,1,25
iter81,18,10,5,25,22,3,14,4,2,9,6,8,26,24,21,13,27,17,12,1,19,11,16,20,15,0,7,23
iter82,24,23,21,26,20,10,17,1,8,7,11,6,22,19,4,14,27,13,5,9,18,3,12,15,16,0,2,25
iter83,21,24,9,26,25,2,15,0,7,1,8,11,14,18,16,10,27,6,22,13,20,4,12,19,17,5,3,23
iter84,23,22,4,26,25,5,16,8,1,9,13,14,3,20,12,19,27,18,10,11,17,2,6,21,15,0,7,24
iter85,21,22,6,26,23,5,13,2,1,11,15,7,25,20,8,12,27,9,16,0,18,4,19,17,14,3,10,24
iter86,23,21,16,27,25,6,9,2,17,3,8,5,4,19,14,13,24,12,26,11,22,1,10,18,15,0,7,20
iter87,19,14,21,27,23,7,13,2,3,4,10,9,0,18,17,8,26,11,25,5,12,15,24,20,16,1,6,22
iter88,24,18,23,27,25,4,17,1,7,10,16,8,0,22,9,12,21,11,5,3,19,13,6,20,15,2,14,26
iter89,22,21,3,25,23,6,13,1,0,7,12,8,24,20,17,14,27,18,9,2,15,5,11,19,16,10,4,26
iter90,22,10,20,26,24,5,14,13,2,16,4,8,7,19,6,23,27,11,9,3,21,1,12,17,18,0,15,25
iter91,21,24,20,26,23,6,12,4,0,5,11,10,7,17,2,22,27,15,13,18,8,3,14,16,19,1,9,25
iter92,16,23,20,26,22,4,18,5,7,9,15,3,1,19,13,17,27,6,25,21,10,2,11,12,14,0,8,24
iter93,23,20,16,25,22,5,12,0,9,2,10,8,1,19,11,4,27,14,26,13,17,7,18,21,15,3,6,24
iter94,20,24,6,26,23,8,12,7,4,0,13,9,15,17,5,10,27,11,19,22,21,2,18,16,14,1,3,25
iter95,21,26,17,25,24,7,14,0,3,5,9,8,10,20,11,18,27,6,15,22,12,4,16,19,13,1,2,23
iter96,18,23,21,26,22,4,15,2,6,12,17,7,0,13,3,9,27,10,24,5,20,11,16,19,14,1,8,25
iter97,22,17,2,26,24,6,13,5,7,8,11,9,0,21,19,18,27,15,20,4,12,3,16,23,14,1,10,25
iter98,21,14,15,26,23,4,9,7,0,5,13,6,25,20,22,8,27,11,17,3,16,1,12,19,18,2,10,24
iter99,20,18,3,25,22,6,11,12,2,1,13,7,19,21,4,15,27,8,23,17,24,5,10,16,14,0,9,26
iter100,19,25,15,24,20,4,12,0,7,8,9,6,16,18,5,13,27,11,26,23,10,1,17,21,14,2,3,22
iter101,21,23,14,26,24,8,17,4,11,2,15,12,0,20,5,6,27,16,22,13,10,7,9,19,18,1,3,25
iter102,22,19,20,25,26,8,16,14,3,13,9,7,1,23,5,15,27,10,0,2,11,12,21,18,17,4,6,24
iter103,15,26,17,25,24,7,13,1,11,4,9,8,2,20,12,6,27,22,19,10,16,3,18,21,14,0,5,23
iter104,23,26,10,22,25,6,16,1,2,4,12,9,3,21,7,13,27,8,19,14,15,5,17,20,18,0,11,24
iter105,18,24,14,26,25,6,16,2,3,7,9,5,1,21,12,17,27,8,22,10,19,4,11,23,15,0,13,20
iter106,22,25,2,26,23,4,14,5,1,9,11,8,21,19,7,17,27,16,13,10,20,6,15,18,12,0,3,24
iter107,20,19,18,26,25,4,15,1,3,5,13,6,11,21,7,14,27,9,22,16,12,2,17,23,10,0,8,24
iter108,18,25,15,27,24,7,13,4,12,1,10,9,2,11,6,8,23,14,19,20,21,5,16,22,17,0,3,26
iter109,20,19,14,26,22,7,17,2,11,3,12,9,0,23,8,24,27,13,16,5,4,10,18,21,15,1,6,25
iter110,22,24,16,25,21,4,12,5,1,6,11,8,0,20,10,18,27,3,13,19,17,9,14,23,15,2,7,26
iter111,22,20,15,27,24,10,13,2,0,8,12,6,9,19,11,17,25,5,3,21,14,4,23,18,16,1,7,26
iter112,19,6,14,26,25,2,17,4,9,13,5,3,8,22,10,15,27,11,24,12,18,7,21,20,16,0,1,23
iter113,20,19,10,26,25,7,14,3,1,9,8,6,0,18,12,13,27,11,22,17,15,4,21,23,16,2,5,24
iter114,22,23,9,26,24,0,11,7,1,6,13,5,15,18,3,12,27,4,20,21,19,2,16,14,17,10,8,25
iter115,19,16,24,26,25,6,12,3,1,4,9,7,14,21,8,10,27,18,2,15,13,22,11,20,17,0,5,23
iter116,24,21,10,26,25,6,12,1,7,9,11,8,5,22,15,17,27,18,14,4,13,2,19,20,16,0,3,23
iter117,18,23,10,24,25,4,12,1,20,2,11,6,0,19,9,16,27,17,15,7,22,5,14,21,13,3,8,26
iter118,17,16,3,26,21,6,11,0,4,1,10,7,25,19,9,20,27,14,23,8,22,12,13,18,15,2,5,24
iter119,22,23,18,27,24,3,14,4,2,5,10,6,0,21,11,7,26,20,17,9,16,12,15,19,13,1,8,25
iter120,20,8,10,26,23,6,14,1,2,3,9,7,25,22,13,5,27,15,21,11,19,12,17,18,16,0,4,24
iter121,20,14,19,26,22,7,13,1,4,11,12,6,0,23,9,15,27,10,25,3,8,5,18,21,17,2,16,24
iter122,23,22,13,26,24,4,18,5,14,3,11,8,0,21,9,12,27,10,17,16,15,2,7,20,19,1,6,25
iter123,19,24,18,26,20,4,12,1,6,3,7,8,10,23,14,22,27,5,15,17,13,2,11,21,16,0,9,25
iter124,21,23,24,25,22,4,13,8,1,3,16,7,0,19,9,11,27,5,14,15,12,10,18,20,17,2,6,26
iter125,21,10,22,25,24,4,16,11,7,1,9,3,2,19,5,13,27,18,26,12,8,17,14,20,15,0,6,23
iter126,20,24,18,26,23,5,19,4,1,2,10,7,8,22,11,21,27,9,14,13,15,6,12,16,17,0,3,25
iter127,17,18,9,26,24,4,14,1,16,3,11,7,8,20,5,19,27,10,22,23,12,2,21,15,13,0,6,25
iter128,20,17,16,26,24,9,11,3,1,6,15,8,23,18,21,10,27,12,2,22,13,4,7,19,14,0,5,25
iter129,23,16,10,25,26,8,13,7,1,5,20,9,0,22,12,15,27,11,6,4,21,3,17,19,18,2,14,24
iter130,23,25,14,26,24,4,17,10,6,9,11,7,0,22,13,20,2,15,12,5,19,3,18,21,16,1,8,27
iter131,15,24,6,25,23,5,14,7,0,10,13,4,16,19,12,9,27,21,3,8,18,1,17,22,20,2,11,26
iter132,24,13,16,26,22,9,14,1,6,4,19,7,0,23,11,17,27,8,21,3,12,5,20,18,15,2,10,25
iter133,17,22,14,26,24,5,13,12,1,3,10,8,0,20,4,11,27,21,15,2,9,19,16,23,18,7,6,25
iter134,22,19,21,26,25,10,14,5,1,2,15,12,7,20,9,11,27,8,23,0,17,3,13,18,16,4,6,24
iter135,24,16,7,25,23,4,14,3,0,1,11,6,26,18,8,13,27,2,20,5,22,15,12,19,17,9,10,21
iter136,19,21,17,25,24,6,12,0,1,4,15,11,26,23,9,8,27,20,5,7,13,3,14,18,16,2,10,22
iter137,25,20,9,27,24,7,19,2,23,3,18,6,8,14,4,17,26,11,12,15,10,0,13,22,16,1,5,21
iter138,19,24,12,27,25,7,16,3,0,6,11,8,1,22,2,14,26,13,21,9,17,5,15,20,18,4,10,23
iter139,22,23,21,27,25,5,13,2,11,7,12,6,0,20,8,9,24,10,18,19,15,3,16,17,14,1,4,26
iter140,22,25,18,26,23,8,16,1,3,7,14,9,0,19,21,15,27,10,12,5,13,4,17,20,11,2,6,24
iter141,22,14,20,26,24,2,13,6,3,10,12,7,0,18,4,11,27,23,19,5,21,16,9,17,15,1,8,25
iter142,22,14,23,26,21,5,16,1,7,4,10,8,2,18,6,11,27,12,25,24,15,3,17,19,13,0,9,20
iter143,21,25,11,26,24,5,14,3,2,9,6,7,0,18,20,15,27,4,19,12,13,10,16,22,17,1,8,23
iter144,22,27,18,26,23,10,16,14,2,5,11,7,0,25,13,20,6,9,15,3,19,12,8,17,21,1,4,24
iter145,21,22,8,24,23,6,13,2,3,4,11,9,27,18,1,14,26,10,20,19,12,7,17,16,15,0,5,25
iter146,19,25,7,26,23,5,12,1,4,8,9,6,22,20,10,15,27,14,18,2,21,16,11,13,17,0,3,24
iter147,20,10,9,25,23,3,17,5,4,2,8,7,26,15,16,14,27,19,22,1,21,6,12,13,18,0,11,24
iter148,20,17,16,26,23,5,13,1,4,9,11,7,21,22,6,10,27,2,24,14,15,3,19,18,12,0,8,25
iter149,20,22,10,26,23,8,16,2,1,7,12,4,25,19,9,11,27,6,21,17,13,5,15,18,14,0,3,24
