,Vt,Vm,V0,Vform,SVA,ArtOrDet,Nn,Npos,Pform,Pref,Prep,Wci,Wa,Wform,Wtone,Srun,Smod,Spar,Sfrag,Ssub,WOinc,WOadv,Trans,Mec,Rloc-,Cit,Others,Um
iter5034,22,26,23,24,21,5,16,4,0,9,13,7,3,19,11,12,27,8,20,2,10,18,15,17,14,1,6,25
iter5035,21,23,17,26,25,5,12,9,19,8,10,7,0,18,6,11,27,13,20,2,15,4,14,22,16,1,3,24
iter5036,20,24,12,25,22,6,19,8,18,2,14,5,9,17,15,11,27,4,26,7,10,1,16,21,13,0,3,23
iter5037,20,22,6,26,25,5,12,2,1,3,8,11,10,19,13,14,27,18,23,9,15,4,16,21,17,0,7,24
iter5038,23,10,20,26,25,4,11,1,3,15,17,9,2,21,14,13,27,8,7,5,19,12,18,22,16,0,6,24
iter5039,24,14,7,25,22,5,16,1,2,3,10,11,21,19,4,8,27,12,26,18,9,13,20,17,15,0,6,23
iter5040,22,12,8,24,25,6,19,2,1,11,9,4,26,20,15,21,27,17,13,3,10,5,14,16,18,0,7,23
iter5041,22,23,20,26,19,6,10,0,3,1,9,7,11,21,14,17,27,12,24,16,5,4,15,18,13,2,8,25
iter5042,22,25,2,26,23,6,12,0,3,5,14,8,17,21,4,13,27,19,10,9,15,24,11,16,18,1,7,20
iter5043,22,18,16,26,24,7,14,6,3,10,15,9,4,21,8,12,27,20,23,5,11,2,13,19,17,0,1,25
iter5044,23,19,21,26,25,9,11,1,0,6,12,7,20,17,16,8,27,22,5,15,4,2,13,18,14,3,10,24
iter5045,20,24,9,26,25,4,18,0,2,7,11,5,12,21,8,16,27,3,19,14,13,6,22,17,15,1,10,23
iter5046,21,25,14,27,23,5,16,2,3,15,11,4,1,22,6,10,26,12,7,9,19,13,18,20,17,0,8,24
iter5047,19,25,11,26,23,6,13,5,0,2,10,14,16,18,4,12,27,8,21,15,9,7,22,20,17,1,3,24
iter5048,23,21,11,26,24,7,16,0,3,1,13,5,20,22,9,10,27,17,12,8,14,4,18,19,15,2,6,25
iter5049,19,20,12,27,22,6,11,0,14,9,13,5,2,21,16,10,25,8,24,3,23,7,15,18,17,1,4,26
iter5050,23,24,15,26,21,5,18,1,10,9,14,7,6,13,3,8,27,12,22,16,19,4,11,20,17,0,2,25
iter5051,21,22,13,25,24,4,10,2,5,18,6,8,26,19,1,15,27,14,7,12,9,3,17,20,16,0,11,23
iter5052,23,20,14,24,22,2,13,1,5,8,12,6,16,19,10,7,27,18,26,9,21,4,11,17,15,0,3,25
iter5053,23,17,8,25,24,11,10,2,21,5,7,6,27,18,13,9,20,19,14,3,22,0,12,16,15,1,4,26
iter5054,22,12,24,26,21,6,15,8,9,3,11,7,0,23,5,14,27,20,19,2,10,16,13,18,17,1,4,25
iter5055,21,23,9,25,20,6,15,8,0,3,11,7,22,19,12,18,26,4,27,14,16,2,10,17,13,1,5,24
iter5056,19,24,17,25,22,3,10,4,2,13,11,8,7,21,12,9,27,1,26,5,14,18,20,15,16,0,6,23
iter5057,19,24,7,26,23,3,18,5,2,12,16,9,1,21,13,8,27,11,15,10,22,6,14,17,20,0,4,25
iter5058,23,18,6,25,24,7,16,3,0,9,12,13,1,19,22,15,27,10,5,14,11,8,17,21,20,2,4,26
iter5059,23,10,16,27,26,4,15,1,20,5,13,9,8,19,11,12,24,3,18,7,22,2,14,21,17,0,6,25
iter5060,23,21,10,26,24,7,17,3,1,8,13,5,9,18,2,12,27,14,11,20,16,4,6,22,19,0,15,25
iter5061,21,17,13,26,24,5,10,6,20,2,11,4,22,19,8,12,25,9,27,3,18,1,16,15,14,0,7,23
iter5062,16,23,19,26,24,3,15,6,0,7,12,4,1,20,10,14,27,17,13,9,8,11,18,21,22,2,5,25
iter5063,21,25,5,26,23,10,19,7,20,4,14,8,0,16,9,17,27,12,18,6,13,2,11,22,15,1,3,24
iter5064,23,12,17,27,25,5,13,3,0,16,9,8,2,21,20,15,26,6,18,10,11,7,14,24,19,1,4,22
iter5065,20,27,23,26,24,6,15,3,0,12,14,2,25,19,7,5,18,13,11,8,10,9,21,17,16,1,4,22
iter5066,21,1,11,25,23,5,18,6,9,2,13,10,26,22,8,12,27,14,4,3,16,17,20,19,15,0,7,24
iter5067,20,21,11,25,23,5,17,13,4,14,6,7,26,22,12,8,27,9,1,0,18,3,16,19,15,2,10,24
iter5068,21,22,13,26,23,6,15,19,11,2,14,5,0,24,8,7,27,10,18,1,12,9,17,20,16,4,3,25
iter5069,22,21,20,26,24,5,14,0,11,8,13,6,19,18,9,10,27,3,25,1,15,2,12,17,16,4,7,23
iter5070,23,22,12,26,21,9,17,1,0,4,11,10,18,20,7,13,25,3,5,2,16,19,14,24,15,6,8,27
iter5071,22,21,8,25,23,7,17,0,18,11,12,9,26,19,13,6,27,4,15,3,20,1,14,16,10,2,5,24
iter5072,23,6,15,26,24,5,14,0,1,10,12,11,7,20,9,17,27,4,22,3,18,19,13,21,16,2,8,25
iter5073,21,22,13,25,24,5,11,3,0,7,15,6,27,20,8,16,26,12,4,10,17,2,14,19,18,1,9,23
iter5074,21,25,8,26,24,6,17,3,4,10,13,5,12,22,18,11,27,19,9,2,15,1,14,20,16,0,7,23
iter5075,22,24,23,25,21,8,12,11,14,4,7,5,0,13,3,10,27,6,20,16,18,9,17,19,15,1,2,26
iter5076,23,24,13,25,21,6,19,0,20,8,10,7,2,22,5,12,27,15,3,9,11,17,16,18,14,1,4,26
iter5077,19,27,23,26,24,6,12,1,5,3,14,4,21,16,8,15,18,11,7,22,9,10,13,20,17,0,2,25
iter5078,24,23,10,26,25,5,14,18,1,2,12,3,20,21,8,15,27,7,9,17,16,4,11,19,13,0,6,22
iter5079,21,17,11,26,25,3,14,10,6,13,15,7,0,19,5,23,27,22,2,8,20,9,4,16,18,1,12,24
iter5080,23,22,6,26,24,7,12,0,2,5,14,9,11,18,4,19,27,10,25,15,20,3,13,17,16,1,8,21
iter5081,22,23,7,25,24,5,13,0,3,4,6,8,9,15,20,12,27,19,10,14,11,17,16,21,18,1,2,26
iter5082,22,23,19,26,21,8,12,7,0,2,6,5,14,17,13,15,27,24,16,10,9,4,11,20,18,1,3,25
iter5083,20,25,21,26,22,10,15,3,4,2,8,6,1,16,9,11,27,7,24,18,17,12,13,19,14,0,5,23
iter5084,22,20,17,25,24,9,14,0,6,7,13,4,3,18,10,12,27,11,21,8,15,2,16,23,19,1,5,26
iter5085,21,19,12,24,22,2,11,7,13,20,9,6,8,23,16,4,27,14,25,5,10,17,3,18,15,0,1,26
iter5086,19,25,23,26,24,5,17,1,4,6,18,8,0,15,12,21,27,7,14,2,13,11,9,20,16,3,10,22
iter5087,20,25,7,26,22,6,13,1,3,5,17,10,2,21,14,11,27,15,23,4,18,8,12,19,16,0,9,24
iter5088,20,23,16,26,24,6,14,4,1,5,13,11,3,21,9,15,27,10,7,2,17,8,22,19,18,0,12,25
iter5089,19,26,17,25,24,5,13,1,7,3,14,6,22,18,8,9,27,12,21,2,20,4,11,16,15,0,10,23
iter5090,24,22,15,26,25,8,12,0,2,6,10,9,5,19,11,18,27,14,20,3,21,4,13,16,17,1,7,23
iter5091,21,18,13,26,25,2,11,5,1,0,9,4,23,20,14,12,27,22,7,6,8,17,15,19,16,3,10,24
iter5092,23,24,5,26,25,2,16,9,0,6,12,8,4,17,11,15,27,18,3,10,19,21,14,20,13,1,7,22
iter5093,17,25,21,26,24,4,16,1,12,10,13,6,20,19,9,2,27,15,3,23,11,8,7,18,14,0,5,22
iter5094,24,22,23,26,25,8,12,7,3,6,13,9,1,20,4,16,27,14,18,2,11,5,17,21,15,0,10,19
iter5095,24,14,18,26,23,5,13,1,15,3,10,8,0,22,7,17,27,9,4,16,11,12,20,19,21,2,6,25
iter5096,23,22,16,26,25,7,17,6,1,14,8,9,3,20,12,18,27,2,5,4,11,13,19,21,15,0,10,24
iter5097,22,23,19,26,24,8,16,1,5,12,7,10,9,21,6,13,27,14,2,3,17,4,15,20,18,0,11,25
iter5098,21,1,6,26,23,2,11,10,15,9,3,4,25,19,7,16,27,8,24,12,14,22,18,17,13,0,5,20
iter5099,21,25,13,24,23,4,15,2,0,8,16,7,5,17,10,9,27,22,12,14,19,3,18,20,11,1,6,26
iter5100,22,13,11,26,24,6,16,2,0,7,9,8,21,20,5,18,27,4,14,12,23,10,15,19,17,1,3,25
iter5101,15,24,22,25,23,5,9,1,0,13,11,8,7,20,18,10,27,14,26,6,16,3,21,19,12,2,4,17
iter5102,20,11,13,26,22,6,19,7,4,2,9,8,25,23,10,12,27,15,18,1,16,5,17,21,14,0,3,24
iter5103,22,9,19,27,24,5,12,8,0,7,11,6,1,21,4,13,26,3,20,15,23,16,18,17,14,2,10,25
iter5104,22,23,7,26,25,6,10,2,5,17,16,9,0,12,18,14,27,19,15,3,8,1,20,21,13,11,4,24
iter5105,21,20,17,26,23,8,5,1,15,6,14,4,24,19,2,7,27,10,13,18,11,12,9,22,16,0,3,25
iter5106,22,23,14,26,25,4,19,1,5,6,15,10,0,20,7,12,27,16,3,17,8,9,11,21,18,2,13,24
iter5107,16,10,2,26,23,8,18,5,13,4,12,11,0,21,14,19,27,15,25,9,7,6,17,22,20,1,3,24
iter5108,22,12,13,26,24,5,11,2,0,10,14,4,1,17,19,16,27,8,23,6,21,20,9,18,15,3,7,25
iter5109,21,25,24,27,23,8,15,4,5,3,12,9,0,19,14,11,22,10,1,6,16,13,17,18,20,2,7,26
iter5110,23,19,11,27,25,6,13,8,0,9,10,4,7,22,5,14,20,16,26,3,21,2,15,17,18,1,12,24
iter5111,22,19,23,26,25,7,13,2,1,9,17,8,0,15,21,18,27,14,16,6,10,5,11,20,12,4,3,24
iter5112,22,20,13,24,26,5,14,1,7,6,9,8,23,19,15,11,27,4,10,21,17,2,12,18,16,0,3,25
iter5113,22,25,8,26,23,5,16,0,2,6,13,10,21,19,4,15,27,12,24,7,17,11,9,18,14,1,3,20
iter5114,19,24,6,27,22,5,10,1,0,2,14,7,11,18,13,15,25,12,8,23,21,26,9,17,16,4,3,20
iter5115,20,25,9,26,22,3,12,2,7,11,14,5,17,23,8,16,27,1,13,6,19,10,15,21,18,0,4,24
iter5116,21,18,13,26,24,4,14,1,5,2,8,16,12,22,6,11,27,9,10,15,23,7,17,20,19,0,3,25
iter5117,22,12,15,25,23,3,16,0,1,7,4,8,26,19,20,14,27,5,6,18,17,10,9,21,13,2,11,24
iter5118,19,24,21,26,23,8,15,2,1,11,12,7,3,22,6,20,27,14,13,10,17,5,9,18,16,0,4,25
iter5119,22,23,2,26,24,6,13,4,0,8,12,10,11,16,9,15,27,17,3,5,18,20,19,21,14,1,7,25
iter5120,21,20,25,24,26,5,17,2,0,7,13,6,10,22,8,12,27,11,9,14,18,3,15,19,16,1,4,23
iter5121,22,20,17,26,24,5,15,0,14,6,10,8,11,23,3,16,27,9,18,1,13,4,19,21,12,2,7,25
iter5122,24,22,18,26,25,6,13,4,1,2,15,8,14,19,7,3,27,23,12,5,17,10,11,20,16,0,9,21
iter5123,20,15,14,26,22,5,18,11,4,10,6,8,0,19,12,9,27,24,23,7,21,2,16,13,17,1,3,25
iter5124,23,17,15,26,24,10,16,8,13,6,7,11,2,20,12,9,27,4,21,5,18,0,19,22,14,1,3,25
iter5125,20,19,23,26,24,6,12,2,3,7,11,9,0,21,14,22,27,4,17,13,16,8,10,18,15,1,5,25
iter5126,25,26,16,27,20,4,13,2,0,10,8,7,3,23,5,11,18,12,17,15,22,9,19,21,14,1,6,24
iter5127,19,24,22,26,23,4,12,1,13,5,11,6,0,16,14,20,27,10,25,7,8,2,15,18,17,3,9,21
iter5128,22,24,9,25,26,7,12,1,0,3,10,5,20,19,8,11,27,18,14,15,13,4,21,16,17,2,6,23
iter5129,21,24,16,26,23,1,11,7,14,12,9,8,20,19,5,17,27,10,15,2,13,6,4,22,18,0,3,25
iter5130,19,12,20,25,26,2,17,1,13,6,15,3,27,18,7,11,23,16,24,4,10,5,9,21,14,0,8,22
iter5131,22,21,14,26,24,2,17,3,15,6,12,4,7,13,9,8,27,11,25,0,19,10,18,16,20,1,5,23
iter5132,22,10,18,26,25,3,13,0,4,2,6,7,23,20,16,9,27,11,19,8,17,15,12,21,14,1,5,24
iter5133,21,25,15,26,22,5,10,4,6,1,16,8,13,19,7,9,27,11,24,3,18,2,14,17,20,0,12,23
iter5134,21,19,11,26,25,4,12,16,1,5,9,6,0,22,7,13,27,10,24,20,17,3,14,18,15,2,8,23
iter5135,21,22,14,26,24,6,11,0,12,3,15,10,2,20,5,16,27,18,13,7,9,1,23,19,17,4,8,25
iter5136,20,19,25,26,22,5,13,0,4,9,15,6,18,21,11,14,27,2,24,7,8,3,16,17,12,1,10,23
iter5137,21,16,4,25,26,8,17,9,2,3,11,7,1,23,10,14,27,13,6,22,15,12,19,20,18,0,5,24
iter5138,17,23,21,24,22,5,13,1,20,3,9,6,26,19,11,14,27,18,4,12,10,2,8,16,15,0,7,25
iter5139,20,24,11,26,23,5,13,0,7,3,12,8,25,19,4,10,27,21,15,9,17,6,14,18,16,1,2,22
iter5140,23,18,13,26,24,4,17,2,6,3,10,8,0,22,16,7,27,11,21,9,12,20,14,19,15,1,5,25
iter5141,13,19,23,26,25,3,14,1,24,8,9,5,18,21,7,16,27,20,6,4,10,12,15,17,11,0,2,22
iter5142,19,26,15,25,22,3,13,5,1,4,12,8,7,20,10,17,27,18,9,2,14,24,16,21,11,0,6,23
iter5143,22,25,9,26,24,6,14,19,2,4,11,8,1,23,5,13,27,15,7,12,17,3,18,21,16,0,10,20
iter5144,22,23,18,24,20,6,14,0,1,3,13,9,4,21,12,11,27,25,16,5,17,10,8,19,15,2,7,26
iter5145,21,22,3,26,24,8,12,11,4,2,10,6,25,19,17,18,27,13,1,16,9,7,14,20,15,0,5,23
iter5146,22,21,8,25,23,3,9,1,14,5,6,4,18,20,10,16,27,15,24,0,13,12,11,19,17,2,7,26
iter5147,21,24,14,25,22,5,17,1,4,10,13,9,0,20,7,15,27,16,23,6,11,8,19,18,12,2,3,26
iter5148,21,14,11,24,25,7,17,3,4,9,8,10,23,22,5,16,27,12,18,1,15,2,19,20,13,0,6,26
iter5149,24,22,10,26,23,9,17,5,3,6,18,11,0,16,8,21,27,7,20,14,13,2,12,19,15,4,1,25
iter5150,20,21,1,26,24,4,15,2,0,7,6,10,9,22,5,23,27,11,16,19,8,13,12,18,17,14,3,25
iter5151,20,24,18,27,26,4,10,5,2,13,11,7,1,19,17,14,25,8,16,22,12,9,6,21,15,0,3,23
iter5152,18,24,10,26,23,3,15,8,11,4,13,7,0,21,6,16,27,2,22,12,17,5,14,20,19,1,9,25
iter5153,21,20,7,24,26,6,16,5,2,10,8,9,3,22,11,19,27,14,13,1,15,4,18,23,17,0,12,25
iter5154,19,26,23,24,22,4,14,5,1,6,10,7,2,18,13,15,27,17,21,11,12,8,9,16,20,0,3,25
iter5155,21,12,20,26,23,7,14,3,16,4,6,10,0,19,11,2,27,8,24,22,13,5,15,17,18,1,9,25
iter5156,18,24,11,26,22,3,10,0,14,7,17,5,20,21,2,16,27,13,25,6,8,9,12,19,15,1,4,23
iter5157,23,21,22,26,24,10,13,8,4,6,12,11,0,17,16,9,27,3,19,2,18,7,14,20,15,1,5,25
iter5158,22,20,17,25,24,5,9,6,16,3,12,7,23,19,8,10,27,11,4,2,21,13,15,18,14,1,0,26
iter5159,19,24,15,25,22,4,12,3,1,5,18,7,2,16,6,9,27,14,26,8,20,11,13,21,17,0,10,23
iter5160,21,12,23,25,17,5,11,1,14,2,3,9,26,20,18,4,27,19,13,7,10,15,8,22,16,0,6,24
iter5161,22,23,14,27,24,8,10,1,21,4,12,6,19,18,7,13,25,16,2,0,15,17,9,20,11,5,3,26
iter5162,20,24,17,26,22,3,18,1,0,4,11,6,8,21,12,15,27,13,23,10,14,7,9,16,19,2,5,25
iter5163,21,17,2,26,23,8,11,9,0,3,13,7,18,20,6,16,27,10,25,4,19,12,15,22,14,1,5,24
iter5164,18,23,7,27,25,6,15,2,11,5,3,8,4,22,10,14,9,19,24,17,13,16,12,21,20,0,1,26
iter5165,22,24,21,26,25,4,15,3,2,5,12,8,7,19,11,16,27,9,6,0,18,13,20,17,14,1,10,23
iter5166,21,22,6,23,24,5,11,3,1,9,12,8,2,18,13,14,27,16,26,10,4,17,19,20,15,0,7,25
iter5167,19,26,13,27,24,10,21,6,2,9,15,4,1,20,14,17,11,12,3,7,16,5,18,23,22,0,8,25
iter5168,21,15,19,27,23,10,16,0,3,14,7,11,1,22,6,5,26,13,24,12,18,2,8,20,17,4,9,25
iter5169,21,19,13,25,23,6,10,0,12,11,9,7,26,20,5,8,27,15,18,2,17,3,14,22,16,1,4,24
iter5170,16,25,18,26,21,4,14,0,2,11,9,6,24,23,3,15,27,12,22,10,8,13,7,19,17,5,1,20
iter5171,18,22,5,26,25,4,13,0,2,6,8,7,3,19,9,21,27,20,10,14,17,16,11,23,15,1,12,24
iter5172,20,26,11,25,22,6,15,7,2,16,12,10,1,19,8,13,27,5,24,9,14,4,18,21,17,0,3,23
iter5173,22,14,10,26,24,5,17,1,20,6,9,7,0,19,4,12,27,13,23,2,15,8,18,21,16,3,11,25
iter5174,19,11,14,26,21,10,15,0,2,8,18,7,3,20,22,13,27,5,4,6,9,16,24,23,17,1,12,25
iter5175,19,23,13,25,22,5,17,2,0,4,9,7,26,20,3,8,27,18,21,12,11,15,10,14,16,1,6,24
iter5176,22,11,6,26,25,5,13,2,0,9,10,7,1,21,17,8,27,14,12,24,16,19,18,20,15,3,4,23
iter5177,20,21,17,26,25,6,12,2,3,9,11,7,0,22,5,10,27,23,19,4,15,16,13,14,18,1,8,24
iter5178,22,25,6,26,21,4,15,1,2,5,11,13,9,17,10,8,27,12,14,0,18,20,16,23,19,3,7,24
iter5179,23,19,13,26,24,7,18,3,0,11,12,10,2,22,6,16,27,9,15,8,14,4,21,20,17,1,5,25
iter5180,22,24,8,26,23,2,13,4,5,12,11,10,3,20,18,19,27,7,14,6,17,9,15,21,16,0,1,25
iter5181,20,22,21,25,23,7,11,3,0,15,12,8,2,18,5,10,27,19,26,9,13,4,16,17,14,1,6,24
iter5182,23,24,13,27,22,7,14,1,3,10,18,9,0,19,6,15,26,11,17,4,5,12,21,20,16,2,8,25
iter5183,22,19,17,26,24,6,13,8,10,2,7,4,3,16,12,11,27,9,23,21,20,1,14,18,15,0,5,25
iter5184,16,24,14,26,25,4,13,0,2,6,10,5,21,22,17,12,27,19,20,7,11,3,9,18,15,1,8,23
iter5185,21,22,8,26,24,6,18,1,0,3,14,5,7,23,4,19,27,13,9,16,12,10,15,20,17,2,11,25
iter5186,23,22,21,25,24,5,15,4,8,3,14,6,1,20,10,13,27,18,2,11,17,9,12,19,16,0,7,26
iter5187,20,24,7,26,25,9,13,0,3,2,17,11,5,22,8,15,27,16,23,10,12,6,14,19,18,1,4,21
iter5188,22,19,8,26,24,5,15,3,1,12,16,6,2,18,7,17,27,20,14,9,23,10,11,21,13,0,4,25
iter5189,22,24,8,25,19,2,11,3,20,6,10,5,23,16,4,21,27,18,13,9,15,1,14,17,12,0,7,26
iter5190,21,24,4,27,23,3,12,1,14,5,11,6,15,19,13,7,25,9,22,20,18,10,8,16,17,0,2,26
iter5191,24,18,8,26,19,3,13,2,1,15,9,6,23,22,10,12,27,20,16,5,11,7,17,21,14,0,4,25
iter5192,23,10,13,26,24,7,17,2,1,4,15,6,3,20,12,14,27,21,5,9,16,11,22,19,18,0,8,25
iter5193,22,16,11,26,21,5,20,0,2,3,8,6,25,17,9,4,27,12,24,15,13,10,14,19,18,1,7,23
iter5194,18,16,17,27,22,8,15,5,2,7,13,10,0,20,4,11,24,12,26,25,9,3,21,19,14,1,6,23
iter5195,22,25,17,26,24,2,8,19,3,12,9,6,20,23,1,14,27,15,11,7,13,10,4,18,16,0,5,21
iter5196,16,24,5,26,21,7,12,4,3,9,13,6,2,22,10,11,27,14,23,17,20,1,18,19,15,0,8,25
iter5197,20,23,14,26,25,5,13,1,2,4,9,11,16,22,17,15,27,8,7,12,6,10,18,21,19,0,3,24
iter5198,19,20,21,25,23,2,9,5,12,3,14,10,0,13,6,11,26,15,27,17,7,4,16,22,18,1,8,24
iter5199,22,21,7,26,25,6,16,9,8,12,14,11,1,20,3,5,27,4,24,2,18,10,15,19,17,0,13,23
iter5200,23,12,21,27,24,6,17,0,4,1,9,8,10,22,16,5,25,13,18,14,15,2,11,20,19,3,7,26
iter5201,20,14,24,25,23,6,12,0,2,13,7,8,4,19,5,9,27,11,26,21,15,1,18,17,16,3,10,22
iter5202,18,21,8,27,25,6,11,5,3,4,12,7,23,14,13,10,19,16,1,24,20,2,17,22,15,0,9,26
iter5203,18,24,5,26,23,6,15,2,4,8,11,7,9,19,13,17,27,20,21,0,14,3,10,22,16,1,12,25
iter5204,22,23,17,26,25,9,13,0,3,12,14,7,2,16,8,21,27,6,20,10,11,5,19,18,15,1,4,24
iter5205,20,15,6,26,25,5,10,4,1,8,14,9,21,23,19,11,27,7,22,13,12,3,16,18,17,0,2,24
iter5206,22,20,15,25,23,2,12,17,21,7,10,3,24,16,8,14,27,9,6,4,18,5,13,19,11,0,1,26
iter5207,22,21,8,26,24,2,14,4,6,9,18,7,11,20,19,10,27,12,23,3,17,5,13,16,15,0,1,25
iter5208,24,11,17,26,25,4,13,1,7,0,19,8,12,23,6,14,27,10,15,16,21,5,9,20,18,2,3,22
iter5209,20,7,16,26,18,5,15,4,0,8,11,10,21,22,12,9,19,13,27,3,23,2,14,24,17,1,6,25
iter5210,22,15,6,26,25,5,13,4,1,2,12,7,9,20,18,8,27,10,23,11,21,19,14,17,16,0,3,24
iter5211,20,18,9,26,23,6,12,2,1,7,10,5,8,22,21,19,27,15,24,17,11,3,13,16,14,0,4,25
iter5212,18,26,15,25,22,6,20,7,0,3,11,5,1,14,21,9,27,10,23,16,17,4,12,19,8,2,13,24
iter5213,20,16,23,26,24,7,11,1,0,4,12,5,19,22,8,14,27,21,13,15,17,3,9,10,18,2,6,25
iter5214,21,2,16,26,25,5,14,3,1,12,6,8,18,19,10,9,27,22,24,4,13,7,11,20,15,0,17,23
iter5215,21,23,17,27,24,8,9,10,3,14,18,5,0,22,20,7,26,12,6,1,11,13,15,16,19,2,4,25
iter5216,21,22,6,26,23,7,14,3,2,12,15,9,1,18,11,17,27,13,24,8,19,4,10,20,16,0,5,25
iter5217,21,23,18,26,22,4,13,1,8,2,11,7,17,19,9,6,27,16,25,10,12,5,14,20,15,0,3,24
iter5218,22,18,12,26,24,6,13,4,20,10,9,3,19,21,11,8,27,14,7,1,23,2,17,16,15,0,5,25
iter5219,23,14,18,25,24,7,12,2,1,13,10,9,4,21,6,5,27,22,16,19,11,3,17,20,15,0,8,26
iter5220,23,20,2,26,24,7,13,1,10,5,15,8,4,22,9,16,27,11,12,3,19,6,18,21,17,0,14,25
iter5221,19,26,20,25,24,4,12,1,13,8,10,2,18,22,7,6,27,21,3,9,17,14,15,16,11,5,0,23
iter5222,21,23,15,26,25,5,13,2,0,4,10,11,16,12,9,7,27,22,19,6,14,1,17,20,18,3,8,24
iter5223,21,17,8,26,24,4,16,6,3,2,14,10,0,22,7,15,27,20,23,11,12,18,9,19,13,1,5,25
iter5224,20,24,21,26,23,5,15,3,1,14,17,11,0,18,12,6,27,9,8,7,22,10,16,19,13,2,4,25
iter5225,21,19,13,25,24,6,10,0,3,8,12,5,27,15,11,4,23,9,22,18,17,16,7,20,14,2,1,26
iter5226,22,23,8,26,21,6,18,3,4,10,11,9,25,20,5,19,27,13,12,7,16,0,17,14,15,1,2,24
iter5227,16,22,14,26,23,8,17,3,13,4,12,6,0,19,7,11,27,9,25,2,15,1,21,20,18,5,10,24
iter5228,21,22,9,26,25,5,10,4,3,11,16,8,1,19,7,17,27,6,24,2,12,13,20,18,15,0,14,23
iter5229,23,22,16,26,24,5,14,3,2,1,8,12,0,19,9,20,27,11,15,18,13,6,10,21,17,4,7,25
iter5230,19,24,13,27,23,4,12,1,2,5,11,8,25,20,15,16,26,10,9,7,17,6,14,21,18,0,3,22
iter5231,22,25,15,26,23,6,14,9,8,3,12,5,1,21,2,17,27,10,16,13,20,7,11,19,18,0,4,24
iter5232,19,22,14,26,25,5,11,0,2,6,10,7,12,18,17,16,27,24,3,8,20,9,13,21,15,1,4,23
iter5233,21,23,16,26,25,3,13,9,5,1,7,6,19,20,4,12,27,10,15,11,22,2,14,18,17,0,8,24
iter5234,19,22,11,26,25,6,12,5,15,3,9,8,4,20,2,16,27,7,24,18,23,10,13,17,14,0,1,21
iter5235,23,19,21,26,25,7,15,0,11,6,12,8,13,20,9,16,27,4,10,3,14,2,22,18,17,5,1,24
iter5236,22,24,10,26,23,8,15,1,2,12,11,9,0,21,13,7,27,20,4,6,16,14,19,17,18,3,5,25
iter5237,20,23,13,26,25,4,14,1,3,11,15,5,22,19,9,10,27,8,16,2,18,7,12,21,17,0,6,24
iter5238,22,15,11,26,24,5,18,1,4,9,12,13,0,17,3,8,27,20,23,7,14,6,19,21,16,2,10,25
iter5239,22,25,18,26,24,6,15,1,4,12,11,9,0,20,10,17,27,19,13,5,8,3,16,23,14,2,7,21
iter5240,20,25,19,26,23,3,13,6,1,0,10,9,22,18,11,8,27,7,21,4,16,12,14,17,15,5,2,24
iter5241,20,26,22,24,25,5,12,4,19,3,11,8,0,18,9,14,27,13,23,7,17,2,10,15,16,1,6,21
iter5242,21,9,12,27,24,6,18,1,4,3,11,10,13,22,5,8,26,14,20,2,19,23,17,16,15,0,7,25
iter5243,21,24,20,25,26,8,14,3,19,13,11,9,0,18,4,10,27,12,22,7,5,6,15,17,16,1,2,23
iter5244,22,20,13,26,24,4,14,21,0,2,10,9,12,18,6,11,27,8,23,7,15,3,19,16,17,1,5,25
iter5245,22,17,7,27,24,5,12,0,1,2,10,6,26,23,8,9,19,18,14,16,21,11,13,20,15,4,3,25
iter5246,21,19,15,25,23,7,14,4,9,5,12,6,0,20,10,11,27,17,1,26,18,8,13,22,16,3,2,24
iter5247,19,21,16,26,22,6,15,4,9,2,12,8,13,20,1,11,27,3,25,24,7,5,18,17,14,0,10,23
iter5248,22,24,7,27,20,5,19,2,13,9,11,4,0,21,3,18,26,10,12,15,14,8,16,23,17,6,1,25
iter5249,22,23,7,26,24,3,9,4,2,5,16,6,8,20,13,15,27,18,1,19,11,10,14,21,17,0,12,25
iter5250,20,24,11,25,23,2,10,4,12,3,8,5,26,16,17,7,27,18,1,6,13,9,14,22,19,0,15,21
iter5251,22,17,20,26,25,5,15,11,1,3,13,6,8,18,14,19,27,7,24,2,10,4,12,21,16,0,9,23
iter5252,16,7,6,25,26,3,11,2,1,4,9,5,12,21,13,14,27,15,22,23,19,20,10,17,18,0,8,24
iter5253,21,23,15,25,24,9,20,2,3,10,8,6,0,18,4,5,27,16,19,13,11,12,17,22,14,1,7,26
iter5254,23,12,18,27,22,4,14,2,0,6,17,5,25,20,13,15,26,10,19,3,8,1,9,21,16,11,7,24
iter5255,22,23,9,26,25,4,11,17,13,1,16,5,0,19,15,7,27,8,18,21,3,10,12,20,14,2,6,24
iter5256,18,25,19,26,23,6,10,5,12,3,11,7,0,21,15,13,27,16,4,8,22,2,14,20,17,1,9,24
iter5257,19,26,15,25,24,5,13,3,7,11,12,6,4,20,10,17,27,9,18,1,21,2,22,14,16,0,8,23
iter5258,21,26,18,25,23,6,15,2,0,8,11,3,24,17,5,12,27,7,16,14,4,10,19,22,13,1,9,20
iter5259,22,23,20,25,26,4,11,3,5,0,9,10,6,19,18,13,27,7,17,15,16,8,12,21,14,1,2,24
iter5260,23,18,7,26,25,9,17,6,2,11,12,10,3,21,4,22,27,13,8,0,16,15,14,20,19,1,5,24
