,number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,upper_rank,lower_rank,mean_rank
R:VERB:INFL,6,0.00027254144901203725,6,0.00012216724696108972,0.33012576819687306,267616312644.46973,1.3233392551970036,-0.8032739858171651,53.0,0.0,36.8931
U:ADJ,259,0.011764705882352941,260,0.005293914034980555,0.07096724733986637,267616312644.20892,0.18632422486755962,-0.042118649324666954,44.0,9.0,25.9606
U:VERB,535,0.024301612536906655,542,0.011035774642151773,0.10225543849014204,267616312644.23254,0.18348069592139576,0.02176610562793377,45.0,16.0,32.0634
M:OTHER,1358,0.061685214626391094,1462,0.029768085842852197,-0.08565335726893933,267616312644.04932,-0.03757246343527712,-0.13305018721378303,10.0,2.0,5.5767
U:CONTR,2,9.084714967067908e-05,2,4.0722415653696575e-05,0.7077113351874875,267616312644.84015,1.8022680013574914,-0.33228186427462925,53.0,0.0,35.5209
UNK,1030,0.04678628208039973,1062,0.02162360271211288,0.18087515587009095,267616312644.31677,0.24357130977399089,0.11830803016261435,49.0,35.0,43.4977
R:OTHER,4817,0.21880535998183057,6308,0.128438498971759,0.07940135331201117,267616312644.2102,0.10182543134475067,0.057100233115847956,35.0,20.0,27.6626
R:PART,270,0.012264365205541677,274,0.005578970944556431,-0.11735869186029153,267616312644.01813,-0.00628648538270804,-0.22715397145617522,12.0,1.0,4.363
R:MORPH,1586,0.07204178968884851,1677,0.03414574552562458,0.13003375467090222,267616312644.26782,0.17973291858711238,0.0816891059198684,44.0,28.0,37.3595
R:DET,1066,0.04842153077447195,1120,0.022804552766070085,0.02734071756009196,267616312644.16296,0.08400841248982696,-0.029847824937033307,29.0,9.0,17.0461
M:VERB,493,0.022393822393822392,499,0.010160242705597296,0.2072821755770908,267616312644.34796,0.296693496339104,0.11845080564309293,51.0,36.0,45.4712
R:ADJ:FORM,150,0.006813536225300931,153,0.003115264797507788,0.053925740362961466,267616312644.1931,0.23058876040607706,-0.1074092780466897,48.0,4.0,23.5266
TotalMistakes,22015,1.0,49113,1.0,0.0,-445893017718.13635,,,,,
