,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter66,49,31,39,34,27,6,50,12,10,35,26,36,23,33,28,21,46,11,51,24,0,9,40,7,15,19,13,3,48,1,16,45,25,43,4,44,14,52,32,29,18,38,53,20,37,8,2,41,30,5,42,22,47,17
iter67,45,24,46,42,23,3,51,16,36,34,20,29,22,35,31,14,47,5,44,26,1,17,52,6,15,19,8,11,49,10,18,41,12,27,2,21,40,50,30,25,9,39,0,28,38,7,53,43,33,4,32,13,48,37
iter68,45,27,39,32,19,4,47,43,51,36,24,30,14,34,18,16,7,9,42,29,0,26,49,3,12,10,35,2,52,8,17,46,11,21,1,37,31,50,44,22,25,38,13,23,20,5,53,40,33,6,41,15,48,28
iter69,49,31,17,34,27,3,30,9,46,21,24,36,19,38,42,15,2,11,47,26,0,44,33,10,13,16,6,14,53,41,12,50,20,28,5,40,51,52,35,23,32,22,4,25,39,8,1,48,29,7,43,18,45,37
iter70,47,30,32,36,20,5,38,15,31,28,19,29,26,35,13,25,4,2,48,21,0,12,49,10,11,14,7,8,46,52,37,44,18,23,9,41,33,50,27,17,16,34,51,39,42,3,53,43,22,1,40,24,45,6
iter71,49,32,12,37,22,4,50,31,28,27,20,34,23,19,25,15,8,7,43,17,0,38,40,3,11,9,48,1,51,45,18,46,14,30,2,36,39,33,42,26,21,35,52,29,44,6,53,47,24,5,41,16,13,10
iter72,47,25,17,38,13,5,42,15,41,27,28,32,21,35,37,20,19,4,33,29,0,22,50,11,12,8,24,1,52,44,10,40,18,26,3,34,31,46,48,14,9,30,53,36,39,6,51,45,23,2,43,16,49,7
iter73,48,28,32,30,15,2,49,31,38,36,23,34,25,19,35,21,22,9,50,26,1,41,51,6,12,14,3,4,46,52,17,43,13,18,8,24,45,47,40,16,11,27,0,33,42,5,53,39,29,10,37,20,44,7
iter74,44,21,39,30,17,4,48,25,6,37,29,35,24,31,36,18,51,10,53,19,0,11,40,7,14,12,20,3,52,23,41,47,13,22,8,46,43,50,42,33,15,32,2,34,26,9,1,45,28,5,38,27,49,16
iter75,47,35,25,40,14,3,51,12,4,27,19,34,29,20,32,15,2,17,50,33,0,36,48,8,9,13,41,21,52,10,24,46,18,23,6,28,44,37,43,26,31,42,53,11,38,5,1,45,30,7,39,22,49,16
iter76,45,29,21,42,24,4,51,41,13,30,23,32,20,17,48,27,39,3,47,25,0,8,22,5,9,14,11,1,43,50,18,35,12,44,6,34,37,49,36,16,10,31,52,33,19,7,53,46,26,2,40,15,38,28
iter77,46,28,35,27,13,6,19,38,41,29,32,25,16,21,39,11,31,5,43,20,0,22,51,8,9,10,3,2,52,24,15,40,18,17,7,23,48,49,44,14,26,36,53,30,37,4,50,45,33,1,42,12,47,34
iter78,45,30,32,40,14,6,51,35,29,26,24,22,21,31,33,16,39,5,50,17,0,27,47,4,11,13,18,2,49,9,37,43,12,10,3,19,44,46,34,28,7,25,52,20,36,8,53,38,23,1,42,15,48,41
iter79,47,28,45,42,19,10,46,33,40,44,25,36,32,12,49,16,2,5,18,34,0,26,51,8,11,14,4,9,53,38,13,41,21,37,3,43,20,50,30,23,29,35,52,24,22,7,1,39,27,6,31,17,48,15
iter80,50,32,25,36,22,7,42,19,10,24,28,40,38,43,30,16,1,11,35,29,2,13,27,8,12,9,37,15,52,39,6,41,18,21,5,44,46,51,45,20,17,47,0,23,33,3,53,48,34,4,26,14,49,31
iter81,46,32,19,38,14,2,48,29,8,27,16,34,28,20,33,17,47,3,49,23,0,7,52,4,10,22,44,18,50,37,5,43,12,36,11,24,21,40,39,13,15,35,53,30,31,6,51,42,26,1,41,25,45,9
iter82,45,35,33,44,11,3,52,9,14,27,29,36,15,31,17,19,43,6,50,22,0,25,23,2,16,13,28,1,46,7,8,48,30,41,12,34,38,49,42,21,10,37,20,24,39,5,53,47,32,4,40,26,51,18
iter83,45,31,41,27,30,9,50,25,48,16,24,29,26,23,8,17,11,7,49,33,0,12,32,3,14,15,2,4,51,10,20,35,19,38,5,37,43,47,39,22,18,42,52,21,36,6,53,46,28,1,40,13,44,34
iter84,48,21,35,34,14,3,50,24,41,26,29,33,30,25,32,19,37,7,46,31,0,4,12,13,15,17,27,1,51,2,36,45,16,38,9,22,42,52,43,18,39,44,8,20,28,6,53,47,23,5,40,11,49,10
iter85,47,27,37,40,19,1,49,16,45,10,21,34,32,33,48,20,3,5,36,30,0,25,50,7,6,14,43,8,53,31,11,38,18,39,28,23,24,51,29,22,15,42,52,9,17,4,12,44,26,2,35,13,46,41
iter86,41,20,14,39,23,6,49,26,37,18,30,35,32,40,22,24,33,9,50,21,1,3,51,11,15,10,34,8,52,13,19,43,16,27,17,46,42,48,45,25,5,38,0,31,28,2,53,44,29,12,36,4,47,7
iter87,42,31,40,37,20,7,51,25,13,24,23,33,30,26,47,29,14,5,53,27,1,36,38,11,12,15,9,2,50,17,19,48,18,41,4,34,35,52,45,21,16,44,3,46,28,6,0,49,32,8,39,22,43,10
iter88,46,36,14,34,24,3,51,15,41,37,18,23,25,22,50,20,11,9,53,27,0,12,40,4,10,13,28,1,49,7,38,44,21,16,5,35,42,45,43,19,29,32,52,33,31,6,2,48,26,8,39,17,47,30
iter89,45,24,14,26,39,2,37,32,34,20,27,22,28,31,36,15,4,10,48,30,0,41,51,6,12,19,29,9,50,13,16,40,17,42,5,33,38,47,35,21,8,43,53,7,23,3,52,49,25,1,46,18,44,11
iter90,49,41,27,39,35,4,47,12,13,25,21,37,23,8,34,20,7,6,50,30,1,40,51,22,15,18,14,2,46,11,29,42,17,28,9,48,44,52,33,19,36,32,53,26,31,5,0,45,24,3,38,10,43,16
iter91,42,23,40,43,19,2,50,18,17,14,26,24,28,37,33,16,12,6,51,27,0,41,48,5,15,8,35,1,53,25,7,46,10,29,4,38,45,52,39,20,11,36,9,22,31,3,47,44,30,13,34,21,49,32
iter92,47,36,34,41,24,7,48,13,49,42,25,39,17,30,35,26,5,8,50,22,1,31,40,9,12,11,3,4,53,2,18,44,15,21,10,38,33,43,37,23,20,29,51,32,27,6,0,46,28,14,45,16,52,19
iter93,46,24,16,38,23,7,49,10,39,32,29,31,33,17,28,21,8,9,51,30,0,19,15,35,11,13,22,2,52,1,41,48,12,40,3,20,43,50,26,25,36,42,6,27,37,5,53,44,34,4,45,14,47,18
iter94,48,29,43,35,32,3,50,23,45,21,27,37,31,22,36,14,7,10,49,26,0,12,47,11,16,25,42,6,52,33,4,44,20,28,5,41,46,51,30,18,13,34,2,40,17,9,53,38,19,1,24,15,39,8
iter95,44,26,18,39,20,2,48,14,41,37,24,35,21,22,47,15,46,7,49,27,0,5,50,1,13,11,38,19,52,6,9,45,10,17,8,33,32,51,23,28,12,36,42,40,29,3,53,31,30,4,34,25,43,16
iter96,46,29,12,30,18,7,53,40,22,17,26,36,24,45,49,21,35,15,51,28,2,34,38,8,11,10,14,4,42,27,20,47,13,37,3,32,19,39,44,23,16,25,1,48,31,6,0,50,33,5,41,9,52,43
iter97,48,31,18,33,24,6,46,10,14,36,21,41,34,22,13,15,26,12,52,27,1,5,51,35,11,8,7,32,38,19,29,42,23,25,4,45,49,50,43,28,17,39,53,20,40,2,0,44,30,3,37,9,47,16
iter98,46,24,26,36,38,6,43,28,15,31,19,35,34,20,41,16,39,7,49,30,0,44,47,12,8,25,27,5,51,1,17,45,10,40,3,42,32,52,14,13,22,23,53,9,29,2,11,48,21,4,37,18,50,33
iter99,47,17,46,28,20,8,45,42,50,29,18,31,19,24,43,12,2,7,40,26,1,51,48,13,10,11,14,4,52,0,15,44,16,25,5,34,37,36,32,21,39,30,22,33,27,6,53,41,23,3,38,9,49,35
iter100,45,27,31,34,22,1,49,13,43,18,17,23,24,20,7,11,6,8,46,26,0,36,12,4,9,14,35,33,51,44,38,48,16,29,10,37,21,42,41,25,5,32,52,30,39,3,53,47,28,2,40,15,50,19
iter101,42,26,25,35,17,3,51,20,39,36,19,31,18,32,7,13,33,5,46,29,0,27,47,1,12,10,38,2,48,15,22,43,16,37,8,30,49,50,45,28,6,23,52,21,14,4,53,41,24,9,34,11,44,40
iter102,44,27,38,33,18,2,42,19,11,25,24,28,21,16,46,15,3,8,51,31,0,10,49,13,12,9,43,7,50,1,34,41,14,36,4,32,45,48,29,17,23,39,52,37,30,6,53,40,22,5,35,26,47,20
iter103,46,30,41,42,12,9,50,14,49,33,21,32,23,11,36,25,47,4,48,24,2,18,35,7,10,19,8,16,51,0,6,44,17,27,3,20,45,39,29,26,22,38,52,34,15,5,53,40,28,1,31,13,43,37
iter104,49,33,16,37,14,2,46,23,4,27,24,34,28,39,21,22,9,6,48,29,1,31,45,12,15,11,26,3,51,10,41,43,25,17,8,30,47,52,35,19,13,44,53,36,40,7,0,42,32,5,38,18,50,20
iter105,47,21,25,39,30,8,44,37,40,22,20,28,18,31,29,11,34,2,52,32,0,15,38,10,6,13,49,1,53,5,12,46,19,23,4,33,50,51,36,14,24,27,41,16,35,3,43,45,26,9,42,17,48,7
iter106,48,27,19,37,18,10,42,11,38,25,23,31,35,15,47,16,4,12,52,32,0,46,49,3,9,24,2,6,51,8,33,41,17,40,7,39,21,45,26,20,14,36,50,30,29,5,53,43,22,1,34,13,44,28
iter107,49,28,13,35,21,4,51,25,42,24,27,26,34,38,16,15,5,10,45,29,0,48,50,3,12,17,9,8,44,2,11,43,14,22,7,33,40,47,36,23,20,37,53,32,31,6,52,41,30,1,39,18,46,19
