,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter34,48,32,34,33,15,1,50,11,5,30,24,35,25,36,44,27,39,8,42,20,0,43,9,12,13,6,10,7,53,29,18,47,16,40,4,21,51,52,41,31,19,46,28,37,23,2,14,38,22,3,45,17,49,26
iter35,47,32,18,33,17,2,42,27,5,37,35,28,22,36,15,21,39,9,50,29,0,44,25,7,11,20,16,3,52,4,14,46,10,30,1,40,45,48,23,34,24,38,51,12,26,6,53,43,31,8,41,19,49,13
iter36,46,33,20,39,21,4,47,13,5,23,30,38,32,25,36,17,9,15,52,27,1,40,34,18,11,26,12,2,45,51,16,49,22,29,8,44,48,53,50,24,10,37,3,31,41,7,0,42,28,6,35,14,43,19
iter37,46,30,34,22,23,10,49,13,12,37,24,28,29,42,18,17,8,11,16,25,0,41,6,3,19,32,45,4,52,35,15,48,14,38,2,40,36,51,33,20,9,39,1,27,44,7,53,43,31,5,47,21,50,26
iter38,41,40,32,38,36,1,44,37,24,22,29,35,18,26,11,31,5,10,48,27,0,9,51,4,15,16,20,3,50,6,13,43,14,42,7,28,34,49,47,23,17,19,53,21,39,2,52,46,33,8,25,12,45,30
iter39,49,33,40,38,22,6,50,36,32,34,23,31,29,30,47,25,5,15,53,17,0,12,45,8,14,19,24,3,52,2,21,43,20,35,9,41,51,46,48,27,16,37,1,13,28,7,4,42,26,11,39,18,44,10
iter40,45,22,39,40,14,13,49,32,31,27,23,35,24,16,41,21,7,6,47,20,2,17,50,15,10,8,26,0,52,11,12,43,9,33,5,48,28,51,30,19,25,37,1,44,36,4,53,46,29,3,38,18,42,34
iter41,38,26,37,36,24,1,41,13,5,17,22,28,30,32,8,16,7,4,50,27,0,43,48,10,9,18,25,11,51,40,15,46,12,29,2,44,35,49,31,20,14,34,52,21,42,3,53,45,23,6,33,19,47,39
iter42,47,21,38,34,26,6,50,18,37,36,27,30,35,39,23,11,1,8,41,22,0,17,51,4,15,24,14,9,49,19,25,42,13,20,3,40,43,52,48,28,12,33,53,10,32,7,2,44,31,5,46,16,45,29
iter43,45,23,38,41,25,2,51,32,36,21,22,30,17,24,29,9,20,4,47,34,0,46,35,10,8,11,26,6,52,1,14,37,15,27,7,48,39,50,44,33,28,42,53,18,19,3,13,43,31,5,40,16,49,12
