number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,std,upper_rank,lower_rank,std_ranks,mean_rank
1113,0.07269758327890267,1133.0,0.03171892497200448,-0.004016396220888091,952262731678.9208,0.04442486662427746,-0.05376626383668935,8.600436035457736,39.0,12.0,0.02923654793934143,24.25
337,0.02201175702155454,344.0,0.009630459126539754,0.049215028948662184,952262731678.9734,0.1440784734964659,-0.031356478157269024,9.657799956511834,50.0,18.0,0.05161436247847634,39.13
507,0.03311561071195297,522.0,0.014613661814109743,0.009181462865699722,952262731678.9357,0.08317132188528498,-0.04725233708452596,10.305197717656853,46.0,13.0,0.03864138151368801,29.77
5,0.00032658393207054214,5.0,0.00013997760358342665,-0.2777997956857763,952262731678.6475,0.41074072129317063,-0.7285481770841199,17.530305188444384,53.0,0.0,0.31987329422800787,10.22
287,0.01874591770084912,287.0,0.00803471444568869,-0.0737272021785053,952262731678.854,0.02192384263753744,-0.16674398859583583,8.358373047429746,37.0,3.0,0.05043284308963534,11.24
426,0.027824951012410188,430.0,0.012038073908174692,0.02952084174448899,952262731678.9569,0.11328335362315231,-0.062309633636512596,11.099887386816139,49.0,11.0,0.04920678400820994,32.95
1197,0.07818419333768778,1265.0,0.035414333706606946,-0.012089159768707364,952262731678.9144,0.03973800952177292,-0.0569143869268417,8.07504798747351,39.0,11.0,0.02780184152091757,22.56
0,0.0,0.0,0.0,0.0,-89138352537.0,1.8041124150158794e-16,-1.1102230246251565e-16,3.27865826215542,33.0,22.0,9.95151816994709e-17,26.48
380,0.024820378837361202,396.0,0.01108622620380739,-0.08508034727827218,952262731678.8413,-0.003994897964062771,-0.15779629291687608,7.528452696271659,27.0,3.0,0.04963393596776157,10.32
3860,0.2521227955584585,5099.0,0.1427491601343785,-0.002174202627603525,952262731678.9216,0.020057687802719437,-0.017405939286103247,4.588365722128087,35.0,19.0,0.010757134522356868,26.37
157,0.010254735467015023,157.0,0.004395296752519597,0.010641342878875047,952262731678.9371,0.15363796818333536,-0.11387723884367966,14.388450229263748,49.0,6.0,0.07482877823049142,30.05
1175,0.0767472240365774,1252.0,0.03505039193729003,-0.022746033221376482,952262731678.9036,0.028783878444539876,-0.06036401961668231,7.408778576796583,37.0,10.0,0.025748442369389668,21.5
793,0.051796211626387985,829.0,0.02320828667413214,0.07353098649653693,952262731679.0016,0.1343116799381399,0.010122600731813536,5.372699507696294,50.0,30.0,0.031929518952250435,42.29
391,0.025538863487916393,394.0,0.01103023516237402,0.08459500279143894,952262731679.012,0.16543733293408058,0.009894677563317425,6.587951123073091,50.0,29.0,0.04261502776806553,42.67
138,0.009013716525146962,140.0,0.003919372900335946,-0.05006987648190256,952262731678.8757,0.13165098314617632,-0.2091145624966016,15.518453531199555,49.0,3.0,0.0976371209159667,19.24
15310,1.0,35720.0,1.0,0.0,-1130539436752.9258,,,,,,,
